domain,llm,solved.1.avg,solved.1.stdev,solved.2.avg,solved.2.stdev,solved.3.avg,solved.3.stdev,solved.4.avg,solved.4.stdev,solved.5.avg,solved.5.stdev,solved.6.avg,solved.6.stdev,solved.7.avg,solved.7.stdev,solved.8.avg,solved.8.stdev,solved.9.avg,solved.9.stdev,solved.10.avg,solved.10.stdev,solved.11.avg,solved.11.stdev,solved.12.avg,solved.12.stdev,solved.13.avg,solved.13.stdev,solved.14.avg,solved.14.stdev,solved.15.avg,solved.15.stdev,solved.16.avg,solved.16.stdev,solved.17.avg,solved.17.stdev,solved.18.avg,solved.18.stdev,solved.19.avg,solved.19.stdev,solved.20.avg,solved.20.stdev
books,gemini,6.666666666666667,0.9428090415820634,12.0,1.4142135623730951,15.0,0.816496580927726,16.666666666666668,1.247219128924647,17.666666666666668,1.247219128924647,18.0,1.4142135623730951,18.333333333333332,0.9428090415820634,18.333333333333332,0.9428090415820634,18.333333333333332,0.9428090415820634,18.666666666666668,1.247219128924647,18.666666666666668,1.247219128924647,18.666666666666668,1.247219128924647,19.0,0.816496580927726,19.0,0.816496580927726,19.0,0.816496580927726,19.0,0.816496580927726,19.0,0.816496580927726,19.0,0.816496580927726,19.0,0.816496580927726,19.0,0.816496580927726
books,gpt-3-5,20.333333333333332,3.0912061651652345,24.666666666666668,4.189935029992178,28.666666666666668,6.128258770283411,31.666666666666668,5.436502143433363,33.666666666666664,5.436502143433364,34.333333333333336,5.185449728701348,34.666666666666664,4.714045207910317,35.0,4.96655480858378,35.333333333333336,5.185449728701348,35.666666666666664,4.714045207910317,36.333333333333336,5.185449728701348,36.666666666666664,5.436502143433364,37.0,4.96655480858378,37.0,4.96655480858378,37.333333333333336,4.4969125210773475,37.333333333333336,4.4969125210773475,37.333333333333336,4.4969125210773475,37.333333333333336,4.4969125210773475,37.666666666666664,4.027681991198191,37.666666666666664,4.027681991198191
books,gpt-4o-mini,10.333333333333334,2.6246692913372702,14.333333333333334,3.2998316455372216,16.333333333333332,1.247219128924647,17.333333333333332,2.0548046676563256,18.0,1.632993161855452,18.0,1.632993161855452,18.666666666666668,2.0548046676563256,18.666666666666668,2.0548046676563256,19.0,2.449489742783178,19.666666666666668,2.8674417556808756,21.0,2.449489742783178,21.333333333333332,2.0548046676563256,21.666666666666668,1.699673171197595,21.666666666666668,1.699673171197595,21.666666666666668,1.699673171197595,21.666666666666668,1.699673171197595,21.666666666666668,1.699673171197595,22.333333333333332,1.8856180831641267,22.666666666666668,1.699673171197595,22.666666666666668,1.699673171197595
books,llama-3-2,4.0,0.816496580927726,6.333333333333333,1.8856180831641267,8.0,1.632993161855452,8.333333333333334,2.0548046676563256,8.333333333333334,2.0548046676563256,9.0,1.4142135623730951,9.0,1.4142135623730951,9.0,1.4142135623730951,9.0,1.4142135623730951,9.0,1.4142135623730951,9.333333333333334,1.247219128924647,9.333333333333334,1.247219128924647,9.333333333333334,1.247219128924647,9.333333333333334,1.247219128924647,9.333333333333334,1.247219128924647,9.333333333333334,1.247219128924647,9.333333333333334,1.247219128924647,9.333333333333334,1.247219128924647,9.333333333333334,1.247219128924647,9.333333333333334,1.247219128924647
games,gemini,13.666666666666666,1.247219128924647,21.0,2.160246899469287,25.0,2.160246899469287,28.333333333333332,1.247219128924647,31.0,0.816496580927726,32.0,0.0,34.666666666666664,1.247219128924647,35.666666666666664,1.247219128924647,36.666666666666664,1.8856180831641267,36.666666666666664,1.8856180831641267,37.0,1.4142135623730951,37.666666666666664,1.8856180831641267,38.333333333333336,2.357022603955158,38.666666666666664,1.8856180831641267,39.0,2.160246899469287,39.0,2.160246899469287,39.333333333333336,1.699673171197595,40.0,2.160246899469287,41.0,1.632993161855452,41.333333333333336,1.247219128924647
games,gpt-3-5,46.333333333333336,1.699673171197595,62.666666666666664,3.091206165165235,70.0,2.160246899469287,80.33333333333333,2.6246692913372702,85.66666666666667,4.496912521077347,89.33333333333333,4.496912521077347,92.33333333333333,4.496912521077347,94.0,4.08248290463863,96.0,4.546060565661952,96.33333333333333,4.189935029992178,96.66666666666667,4.109609335312651,97.33333333333333,3.39934634239519,98.0,3.559026084010437,99.33333333333333,4.0276819911981905,99.66666666666667,4.496912521077347,100.0,4.320493798938574,101.33333333333333,5.557777333511022,102.0,5.354126134736337,102.0,5.354126134736337,102.0,5.354126134736337
games,gpt-4o-mini,25.333333333333332,3.8586123009300755,36.666666666666664,1.8856180831641267,41.333333333333336,2.6246692913372702,46.0,2.449489742783178,47.666666666666664,2.494438257849294,51.0,2.8284271247461903,54.666666666666664,2.494438257849294,57.333333333333336,1.247219128924647,60.333333333333336,0.4714045207910317,61.0,0.0,62.333333333333336,0.4714045207910317,63.666666666666664,1.247219128924647,64.66666666666667,0.4714045207910317,65.0,0.816496580927726,67.0,2.160246899469287,68.33333333333333,2.0548046676563256,68.33333333333333,2.0548046676563256,69.66666666666667,1.699673171197595,70.0,1.632993161855452,70.0,1.632993161855452
games,llama-3-2,3.0,0.816496580927726,3.0,0.816496580927726,4.333333333333333,0.4714045207910317,4.666666666666667,0.4714045207910317,5.333333333333333,0.4714045207910317,5.333333333333333,0.4714045207910317,6.0,1.4142135623730951,7.333333333333333,0.4714045207910317,7.666666666666667,0.9428090415820634,8.0,1.4142135623730951,9.0,1.632993161855452,9.666666666666666,1.699673171197595,9.666666666666666,1.699673171197595,10.333333333333334,1.247219128924647,11.666666666666666,1.247219128924647,13.0,2.449489742783178,13.0,2.449489742783178,13.333333333333334,2.8674417556808756,13.333333333333334,2.8674417556808756,13.333333333333334,2.8674417556808756
movies,gemini,54.0,2.160246899469287,68.33333333333333,1.247219128924647,79.33333333333333,2.6246692913372702,86.33333333333333,1.8856180831641267,90.33333333333333,2.8674417556808756,93.0,1.632993161855452,94.66666666666667,3.858612300930075,96.0,3.7416573867739413,98.0,4.242640687119285,98.66666666666667,4.496912521077347,100.33333333333333,3.39934634239519,102.0,2.943920288775949,103.66666666666667,3.858612300930075,105.66666666666667,3.681787005729087,106.33333333333333,3.2998316455372216,106.33333333333333,3.2998316455372216,108.33333333333333,3.2998316455372216,108.33333333333333,3.2998316455372216,108.66666666666667,2.8674417556808756,108.66666666666667,2.8674417556808756
movies,gpt-3-5,112.0,6.377042156569663,129.66666666666666,6.944222218666553,146.33333333333334,6.342099196813483,155.33333333333334,5.312459150169742,163.33333333333334,4.189935029992178,170.66666666666666,6.548960901462833,173.66666666666666,6.79869268479038,177.0,8.286535263104035,179.33333333333334,8.219218670625303,181.66666666666666,8.379870059984356,182.66666666666666,7.84573486395988,186.0,9.626352718795768,187.33333333333334,10.338708279513881,189.0,10.708252269472673,189.66666666666666,10.624918300339484,190.33333333333334,10.208928554075703,191.66666666666666,9.392668535736913,191.66666666666666,9.392668535736913,193.66666666666666,10.624918300339484,194.0,10.614455552060438
movies,gpt-4o-mini,72.33333333333333,3.858612300930075,90.33333333333333,5.792715732327588,103.33333333333333,7.717224601860151,109.66666666666667,8.65383665716478,117.33333333333333,10.077477638553983,120.66666666666667,9.977753031397176,124.33333333333333,11.440668201153676,127.66666666666667,11.728408057172787,131.0,12.192894105447921,134.33333333333334,12.814921857827391,137.33333333333334,13.572848714334889,139.33333333333334,12.657891697365017,142.0,11.045361017187261,144.0,11.86029791643813,145.33333333333334,12.391753530294071,146.66666666666666,11.953614051360738,147.66666666666666,11.67142760000773,147.66666666666666,11.67142760000773,148.33333333333334,11.323525167642018,148.33333333333334,11.323525167642018
movies,llama-3-2,16.666666666666668,0.4714045207910317,20.333333333333332,0.9428090415820634,23.333333333333332,2.6246692913372702,26.0,3.559026084010437,29.666666666666668,2.494438257849294,31.333333333333332,2.6246692913372702,34.0,1.632993161855452,36.666666666666664,3.091206165165235,37.333333333333336,3.39934634239519,38.0,2.943920288775949,40.0,2.160246899469287,40.666666666666664,1.699673171197595,41.0,2.160246899469287,43.0,2.8284271247461903,44.0,2.8284271247461903,44.666666666666664,2.494438257849294,45.666666666666664,2.357022603955158,46.666666666666664,1.699673171197595,47.666666666666664,1.699673171197595,47.666666666666664,1.699673171197595
