domain,llm,lr.confidence.avg,lr.confidence.stdev,lr.confidence.pos.avg,lr.confidence.pos.stdev,lr.confidence.neg.avg,lr.confidence.neg.stdev,lr.rank.avg,lr.rank.stdev,lr.rank.pos.avg,lr.rank.pos.stdev,lr.rank.neg.avg,lr.rank.neg.stdev,lr.combined.avg,lr.combined.stdev,lr.combined.pos.avg,lr.combined.pos.stdev,lr.combined.neg.avg,lr.combined.neg.stdev
books,gemini,0.8242475913047158,0.031225139162281524,0.85,0.22298480267099421,0.8241536184327852,0.03155141363870808,0.7490077797683703,0.016622742410618636,0.9333333333333332,0.16996731711975951,0.7454893533544958,0.014983903987331886,0.8115664983283726,0.017168124082855007,0.9,0.21343747458109497,0.8118762706423654,0.01789468557548568
books,gpt-3-5,0.7463779128672745,0.02744172837952382,0.7650000000000001,0.2217293144554614,0.7459890876428543,0.026954081670019274,0.6711527125356913,0.051449576052340434,0.8266666666666665,0.15369522511198005,0.6735829224477314,0.03813475154494998,0.7369756838905774,0.027338074983535014,0.7650000000000001,0.2217293144554614,0.7376504987960095,0.026545448326339562
books,gpt-4o-mini,0.8132489027137856,0.024173455274087104,0.7708333333333333,0.2442036377015434,0.8103943797532267,0.026522111460126976,0.6930200512976431,0.007287728031367573,0.7833333333333333,0.24636242498490804,0.692339218656316,0.006738768535286378,0.8088090838926959,0.024972881810578187,0.7708333333333333,0.2442036377015434,0.809300743160087,0.02359318267336517
books,llama-3-2,0.7138032986318855,0.052636474123388254,0.6666666666666666,0.3415650255319866,0.7137277256564277,0.05308112564131771,0.620047232526292,0.017645622311810428,0.7083333333333333,0.37221185723545497,0.6244621009703276,0.021591088879007563,0.7455152367276934,0.035264373554608056,0.6583333333333333,0.36314597615834876,0.7443030917893806,0.03527909682372388
games,gemini,0.7925242081716979,0.017038416074963404,0.680952380952381,0.20625150312102586,0.7929551418456994,0.016915949157821457,0.6536395304766577,0.019930259450216776,0.8357142857142856,0.18410474687831724,0.6529586196868294,0.02055493236107791,0.7898720849868461,0.016200137510577823,0.6892857142857143,0.20209713993091036,0.7899258035574417,0.01587444586228307
games,gpt-3-5,0.7255262691202965,0.014945304400114486,0.7325367647058824,0.15819881136254624,0.7254289532567678,0.014872167220054164,0.6313639572984878,0.02352320581896407,0.8224264705882354,0.12541076539856805,0.628529210466579,0.024145090701512117,0.6911945119839032,0.019067043393666917,0.7788602941176471,0.13316374909198012,0.6885082086966614,0.020778007890220725
games,gpt-4o-mini,0.7304952615447748,0.017899239363174262,0.7463636363636363,0.1525242156630755,0.7304112770953083,0.017925810440134096,0.6464918973911781,0.017673078464361804,0.7749999999999999,0.14083209039828393,0.643061319899629,0.016045994684298966,0.733765308608728,0.01830225960499434,0.7313636363636363,0.14808627706356,0.7360094707269622,0.019275592734688617
games,llama-3-2,0.6642814802299264,0.03229155440766975,0.5,0.3205897343611891,0.6644774029240286,0.03222176309711241,0.560990140483155,0.010462331111016217,0.5333333333333333,0.3009245014211298,0.5634301834892166,0.005897093463842768,0.6478479606886526,0.02480788100391147,0.4583333333333333,0.3369594436525955,0.6485878944538298,0.02593908698082055
movies,gemini,0.8354159279052624,0.015139437493709397,0.7411764705882352,0.10172867859381102,0.8361272948380805,0.01537743075246872,0.6955043016683478,0.0027214515956603866,0.8461397058823531,0.10992139841731136,0.6943683613796395,0.0022551851486094132,0.8376220400067922,0.013461560805444094,0.7351102941176471,0.10915759411286348,0.8390531336551558,0.01364180034591807
movies,gpt-3-5,0.7628494918881625,0.011219679052988612,0.7490423387096774,0.111958022792265,0.7630991791391006,0.01098511850371683,0.6700779679750503,0.012932826723610206,0.8087701612903226,0.10120390397682733,0.6674635507804936,0.013570406762979912,0.7602688399139713,0.01134696150687465,0.7506048387096774,0.11261276360979508,0.75974493765914,0.01201932302457362
movies,gpt-4o-mini,0.800177125789309,0.01454506751735292,0.7518774703557313,0.11356240074501944,0.8006934481109516,0.014646858723966214,0.6957797631547016,0.0028792043738351306,0.8032608695652174,0.08243612238912709,0.6946197991391678,0.002677610625219312,0.7722391816036331,0.01415659710937538,0.774308300395257,0.11120811675025959,0.7722381635581061,0.01420209981511886
movies,llama-3-2,0.7368366920488486,0.047848607222371706,0.6409722222222223,0.22907300274458306,0.7371779596550238,0.0486637596513507,0.5994873454723743,0.01902949434356554,0.6833333333333333,0.1754953307387724,0.6039509706654203,0.016547743035855482,0.7536187227977006,0.021570159567248233,0.6465277777777778,0.20551214819459104,0.7539117514748249,0.022101916758213574
